pid,classified,prob
IFCB1_2008_113_223114_00122,mix,0.7300000000000001
IFCB1_2008_113_223114_00123,detritus,0.4533333333333334
IFCB1_2008_113_223114_00125,mix,0.3233333333333336
IFCB1_2008_113_223114_00127,mix,0.8266666666666671
IFCB1_2008_113_223114_00128,mix,0.996666666666667
IFCB1_2008_113_223114_00131,mix,0.8566666666666669
IFCB1_2008_113_223114_00132,mix,0.39333333333333337
IFCB1_2008_113_223114_00133,detritus,0.4233333333333335
IFCB1_2008_113_223114_00134,mix,0.7266666666666665
IFCB1_2008_113_223114_00136,detritus,0.5233333333333335
IFCB1_2008_113_223114_00137,mix,0.9733333333333338
IFCB1_2008_113_223114_00138,mix,0.7400000000000001
IFCB1_2008_113_223114_00143,detritus,0.4899999999999998
IFCB1_2008_113_223114_00146,mix,0.9066666666666664
IFCB1_2008_113_223114_00147,detritus,0.4733333333333336
IFCB1_2008_113_223114_00148,mix,0.6066666666666664
IFCB1_2008_113_223114_00152,mix,0.9633333333333332
IFCB1_2008_113_223114_00153,mix,0.8766666666666664
IFCB1_2008_113_223114_00154,Dinobryon,0.4733333333333333
IFCB1_2008_113_223114_00157,mix,0.7133333333333334
IFCB1_2008_113_223114_00159,mix,0.9366666666666664
IFCB1_2008_113_223114_00162,mix,0.9866666666666668
IFCB1_2008_113_223114_00164,mix,0.7700000000000002
IFCB1_2008_113_223114_00165,mix,0.9800000000000002
IFCB1_2008_113_223114_00166,mix,0.9933333333333332
IFCB1_2008_113_223114_00167,mix,0.9733333333333342
IFCB1_2008_113_223114_00168,mix,0.8933333333333331
IFCB1_2008_113_223114_00171,detritus,0.3966666666666667
IFCB1_2008_113_223114_00175,detritus,0.6533333333333332
IFCB1_2008_113_223114_00178,mix,0.4233333333333334
IFCB1_2008_113_223114_00179,mix,0.5033333333333335
IFCB1_2008_113_223114_00182,mix,0.9666666666666665
IFCB1_2008_113_223114_00183,mix,0.9666666666666666
IFCB1_2008_113_223114_00184,mix,0.3833333333333335
IFCB1_2008_113_223114_00185,dino30,0.6033333333333329
IFCB1_2008_113_223114_00186,mix,0.9299999999999996
IFCB1_2008_113_223114_00187,mix,1.0
IFCB1_2008_113_223114_00188,mix,0.7900000000000004
IFCB1_2008_113_223114_00189,mix,0.8599999999999997
IFCB1_2008_113_223114_00190,mix,0.92
IFCB1_2008_113_223114_00192,mix,0.9700000000000004
IFCB1_2008_113_223114_00194,mix,0.9866666666666666
IFCB1_2008_113_223114_00195,Cylindrotheca,0.5199999999999999
IFCB1_2008_113_223114_00196,mix,0.4433333333333332
IFCB1_2008_113_223114_00197,mix,0.8666666666666657
IFCB1_2008_113_223114_00198,Chaetoceros,0.4866666666666667
IFCB1_2008_113_223114_00200,mix,0.4033333333333333
IFCB1_2008_113_223114_00201,mix,0.9266666666666664
IFCB1_2008_113_223114_00204,mix,0.6066666666666669
IFCB1_2008_113_223114_00205,detritus,0.3999999999999999
IFCB1_2008_113_223114_00206,mix,0.9900000000000002
IFCB1_2008_113_223114_00207,mix,0.94
IFCB1_2008_113_223114_00208,mix,0.38333333333333336
IFCB1_2008_113_223114_00209,mix,0.8166666666666668
IFCB1_2008_113_223114_00210,mix,0.5100000000000005
IFCB1_2008_113_223114_00211,mix,0.993333333333333
IFCB1_2008_113_223114_00212,dino30,0.5966666666666668
IFCB1_2008_113_223114_00213,mix,0.983333333333334
IFCB1_2008_113_223114_00215,mix,0.6533333333333332
IFCB1_2008_113_223114_00216,mix,0.9933333333333332
IFCB1_2008_113_223114_00218,mix,0.826666666666667
IFCB1_2008_113_223114_00223,mix,0.4966666666666662
IFCB1_2008_113_223114_00224,mix,0.7099999999999997
IFCB1_2008_113_223114_00225,mix,0.6433333333333332
IFCB1_2008_113_223114_00226,mix,0.7533333333333334
IFCB1_2008_113_223114_00227,mix,0.6766666666666665
IFCB1_2008_113_223114_00229,mix,0.8166666666666664
IFCB1_2008_113_223114_00231,mix,0.9833333333333342
IFCB1_2008_113_223114_00233,Chaetoceros,0.31333333333333346
IFCB1_2008_113_223114_00234,detritus,0.4
IFCB1_2008_113_223114_00235,mix,0.4666666666666665
IFCB1_2008_113_223114_00236,mix,0.9566666666666666
IFCB1_2008_113_223114_00237,detritus,0.3433333333333335
IFCB1_2008_113_223114_00239,mix,0.9633333333333328
IFCB1_2008_113_223114_00240,mix,0.973333333333334
IFCB1_2008_113_223114_00242,mix,0.5533333333333335
IFCB1_2008_113_223114_00243,mix,0.9766666666666672
IFCB1_2008_113_223114_00245,mix,0.6700000000000004
IFCB1_2008_113_223114_00246,mix,0.9533333333333336
IFCB1_2008_113_223114_00248,mix,0.6533333333333335
IFCB1_2008_113_223114_00249,dino30,0.6233333333333333
IFCB1_2008_113_223114_00250,mix,0.9766666666666668
IFCB1_2008_113_223114_00251,mix,0.8866666666666664
IFCB1_2008_113_223114_00252,detritus,0.3800000000000002
IFCB1_2008_113_223114_00253,mix,0.616666666666667
IFCB1_2008_113_223114_00255,mix,0.6866666666666662
IFCB1_2008_113_223114_00256,mix,0.9299999999999996
IFCB1_2008_113_223114_00258,mix,0.8033333333333328
IFCB1_2008_113_223114_00259,mix,0.98
IFCB1_2008_113_223114_00261,mix,0.986666666666667
IFCB1_2008_113_223114_00264,mix,0.9100000000000004
IFCB1_2008_113_223114_00265,mix,0.9866666666666666
IFCB1_2008_113_223114_00267,dino30,0.8300000000000004
IFCB1_2008_113_223114_00268,mix,0.953333333333333
IFCB1_2008_113_223114_00269,mix_elongated,0.6766666666666667
IFCB1_2008_113_223114_00270,mix,0.9199999999999998
IFCB1_2008_113_223114_00271,detritus,0.44333333333333336
IFCB1_2008_113_223114_00272,mix,0.92
IFCB1_2008_113_223114_00274,mix,0.7133333333333335
IFCB1_2008_113_223114_00275,mix,0.4800000000000004
IFCB1_2008_113_223114_00276,mix,0.933333333333333
IFCB1_2008_113_223114_00277,mix,0.816666666666667
IFCB1_2008_113_223114_00278,mix,0.9766666666666668
IFCB1_2008_113_223114_00279,mix,0.6999999999999998
IFCB1_2008_113_223114_00280,mix,0.4966666666666664
IFCB1_2008_113_223114_00282,detritus,0.3633333333333332
IFCB1_2008_113_223114_00284,mix,0.94
IFCB1_2008_113_223114_00285,mix,0.6666666666666666
IFCB1_2008_113_223114_00286,mix,0.9866666666666668
IFCB1_2008_113_223114_00287,mix,0.9733333333333332
IFCB1_2008_113_223114_00288,mix,0.39333333333333337
IFCB1_2008_113_223114_00289,mix,0.9033333333333332
IFCB1_2008_113_223114_00290,detritus,0.4766666666666667
IFCB1_2008_113_223114_00291,detritus,0.4766666666666667
IFCB1_2008_113_223114_00292,detritus,0.4299999999999999
IFCB1_2008_113_223114_00293,mix,0.9333333333333336
IFCB1_2008_113_223114_00294,mix,0.9866666666666668
IFCB1_2008_113_223114_00298,mix,0.8933333333333333
IFCB1_2008_113_223114_00299,mix,0.4100000000000003
IFCB1_2008_113_223114_00301,mix,0.9433333333333336
IFCB1_2008_113_223114_00304,mix,0.4833333333333336
IFCB1_2008_113_223114_00305,mix,0.5233333333333328
IFCB1_2008_113_223114_00307,mix,0.9466666666666664
IFCB1_2008_113_223114_00308,mix,0.95
IFCB1_2008_113_223114_00309,mix,0.973333333333334
IFCB1_2008_113_223114_00311,mix,0.9066666666666668
