latitude,longitude,depth,SampleID,Location_Code,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium,Cochlodinium,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
degrees_north,degrees_east,m,,,UTC,celsius,celsius,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
36.958,-122.017,NaN,WW012512SC,HAB_SCW,2012-01-25T16:36:00Z,10.9,NaN,NaN,25,1.56,1.44,1.5,NaN,NaN,NaN,1.18,18.2,NaN,NaN,2.37,7.84,250,0.0,NaN,NaN,NaN,NaN,0.0,90.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW020112SC,HAB_SCW,2012-02-01T15:50:00Z,11.4,NaN,NaN,25,3.21,2.46,2.84,NaN,NaN,NaN,1.34,18.39,NaN,NaN,2.28,7.81,250,0.0,NaN,NaN,NaN,NaN,0.0,20.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW020812SC,HAB_SCW,2012-02-08T15:50:00Z,11.1,NaN,NaN,25,3.55,3.77,3.66,NaN,NaN,NaN,1.16,12.55,NaN,NaN,1.6,5.7,250,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW021512SC,HAB_SCW,2012-02-15T15:50:00Z,10.1,NaN,NaN,25,1.63,1.78,1.7,NaN,NaN,NaN,1.41,16.58,NaN,NaN,2.2,9.51,250,0.0,NaN,NaN,NaN,NaN,0.0,10.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW022212SC,HAB_SCW,2012-02-22T16:03:00Z,10.7,NaN,NaN,25,2.93,2.95,2.94,NaN,NaN,NaN,1.49,19.37,NaN,NaN,1.79,10.0,250,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW022912SC,HAB_SCW,2012-02-29T16:17:00Z,10.2,NaN,NaN,25,4.38,4.34,4.36,NaN,NaN,NaN,1.62,24.44,NaN,NaN,1.03,14.32,250,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW030712SC,HAB_SCW,2012-03-07T16:20:00Z,8.8,NaN,NaN,25,3.21,3.51,3.36,NaN,NaN,NaN,2.15,31.42,NaN,NaN,2.16,18.93,250,0.0,NaN,NaN,NaN,NaN,0.0,20.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW031412SC,HAB_SCW,2012-03-14T15:20:00Z,10.7,NaN,NaN,25,7.77,8.26,8.01,NaN,NaN,NaN,1.43,38.52,NaN,NaN,1.42,4.37,250,0.0,NaN,NaN,NaN,NaN,0.0,20.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW032112SC,HAB_SCW,2012-03-21T15:25:00Z,11.1,NaN,NaN,25,3.0,2.72,2.86,NaN,NaN,NaN,1.55,23.84,NaN,NaN,1.93,9.42,250,0.0,NaN,NaN,NaN,NaN,0.0,200.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW032812SC,HAB_SCW,2012-03-28T15:30:00Z,11.2,NaN,NaN,25,4.97,5.01,4.99,NaN,NaN,NaN,1.62,29.12,NaN,NaN,1.36,10.36,250,0.0,NaN,NaN,NaN,NaN,0.0,40.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
